signal_id,fixture_type,start_time,end_time,duration_seconds,total_readings,estimated_cycles,mean_plateau_freq_hz,std_plateau_freq_hz,peak_freq_hz,ramp_duration_seconds,cutoff_duration_seconds,freq_stability,mean_flow_intensity,peak_flow_intensity,mean_magnitude,flow_running_fraction,mean_vibration_intensity,peak_vibration_intensity,signal_fraction,mean_signal_vibration,mean_plateau_vibration,mean_autocorr_lag1,mean_autocorr_lag5,mean_zero_crossing_rate,mean_peak_to_peak
1678,toilet,2026-03-21T22:37:38+00:00,2026-03-21T22:38:34+00:00,55.9,560,0.63,0.0186,0.1597,2.2598,11.8,44.1,8.5913,1406.3191,2025.0,602.09,1.0,10.1308,17.7,0.6393,15.0091,15.5134,0.8387,-0.1725,0.1446,32.01
1679,toilet,2026-03-22T20:37:12+00:00,2026-03-22T20:38:03+00:00,50.9,510,0.6,0.0164,0.1275,1.0055,7.89,14.3,7.7589,1534.8069,2078.4,592.18,1.0,11.0826,17.6603,0.7078,14.7955,15.5065,0.8532,-0.0928,0.1301,33.19
1680,toilet,2026-03-22T20:38:15+00:00,2026-03-22T20:38:58+00:00,42.9,430,0.64,0.0252,0.179,1.3012,9.09,9.5,7.1134,2038.9563,2124.2,600.37,1.0,12.0541,17.4093,0.786,14.7856,16.2979,0.815,-0.2836,0.1868,36.33
1681,sink,2026-03-22T20:41:10+00:00,2026-03-22T20:42:03+00:00,52.9,530,0.38,0.0099,0.0787,0.6328,9.1,14.2,7.912,2219.2562,2527.4,617.57,1.0,12.0063,17.8039,0.734,15.4716,16.2131,0.9745,0.6384,0.039,26.92
1682,toilet,2026-03-22T20:43:28+00:00,2026-03-22T20:44:22+00:00,53.9,539,0.14,0.0038,0.0287,0.225,9.3,16.9,7.6421,1625.4529,2509.8,612.82,1.0,10.4487,17.4701,0.6494,15.2068,16.094,0.8911,0.2321,0.0649,31.41
1683,toilet,2026-03-22T20:44:31+00:00,2026-03-22T20:45:22+00:00,50.9,510,0.24,0.0079,0.0604,0.4783,11.99,13.7,7.6824,2405.6982,2651.3,595.08,1.0,10.7019,17.7814,0.6392,15.5088,15.9758,0.8776,0.2144,0.0941,32.27
1684,sink,2026-03-22T20:45:58+00:00,2026-03-22T20:47:09+00:00,70.89,710,0.68,0.0127,0.0916,0.6882,8.6,8.9,7.2287,2014.6951,2600.8,596.45,1.0,13.366,17.9955,0.8127,16.0482,16.7527,0.9685,0.5363,0.0615,30.48
1685,sink,2026-03-22T20:48:40+00:00,2026-03-22T20:49:52+00:00,71.89,720,0.33,0.0083,0.0616,0.4684,8.3,25.7,7.4499,1776.9918,2227.6,599.32,1.0,10.3142,17.9184,0.6222,15.4946,15.8275,0.9618,0.4743,0.0843,25.06
1686,sink,2026-03-22T20:50:38+00:00,2026-03-22T20:51:32+00:00,53.9,539,0.38,0.0073,0.0583,0.4732,6.4,7.99,7.9875,1586.6855,2312.3,597.46,1.0,13.9105,18.3108,0.8942,15.2914,16.647,0.9688,0.5432,0.0693,33.6
1687,toilet,2026-03-22T20:52:03+00:00,2026-03-22T20:52:55+00:00,51.91,520,0.22,0.0057,0.0501,0.4805,9.11,24.4,8.7937,1855.2998,2148.9,600.19,1.0,10.4534,17.6101,0.6519,15.1465,15.8139,0.8484,-0.0919,0.1545,31.95
