elapsed_seconds,dominant_freq_hz,flow_intensity,total_magnitude,flow_running,vibration_rpm,x_axis_reading,y_axis_reading,z_axis_reading,vibration_intensity,has_real_signal
0.0,0.0,2265.6,592.732,True,0.0,-99,189,553,1.82671954904298,False
0.099,0.0,2264.7,594.432,True,0.0,-98,189,555,1.82495537053656,False
0.198,0.0,2264.7,595.366,True,0.0,-98,189,556,1.82325934906802,False
0.298,0.0,2264.7,596.137,True,0.0,-97,189,557,1.82947662086693,False
0.395,0.0,2264.1,591.953,True,0.0,-98,190,552,1.82837198507266,False
0.498,0.0,2262.0,594.135,True,0.0,-96,192,554,1.85622096110722,False
0.595,0.0,2258.0,592.238,True,0.0,-96,189,553,1.86242981239832,False
0.703,0.0,2248.3,596.149,True,0.0,-99,188,557,1.86827336228401,False
0.801,0.0,2245.5,598.961,True,0.0,-97,192,559,1.9063539607521,False
0.899,0.0,2243.8,598.486,True,0.0,-98,190,559,1.93074897114935,False
0.996,0.0,2242.5,591.468,True,0.0,-97,189,552,1.92843458794011,False
1.103,0.0,2241.7,595.685,True,0.0,-98,190,556,1.94505153543775,False
1.201,0.0,2242.1,592.732,True,0.0,-99,189,553,1.94135620056432,False
1.298,0.0,2240.4,595.573,True,0.0,-101,191,555,1.94846288078352,False
1.399,0.0,2240.7,591.799,True,0.0,-99,189,552,1.95033029779366,False
1.496,0.0,2239.8,594.908,True,0.0,-97,191,555,1.95401557746279,False
1.594,0.0,2237.9,593.335,True,0.0,-97,189,554,1.95125586556738,False
1.702,0.0,2228.5,592.721,True,0.0,-97,190,553,1.95248887232627,False
1.803,0.0,2222.6,593.491,True,0.0,-96,190,554,1.96567609783649,False
1.902,0.0,2220.2,594.432,True,0.0,-98,189,555,1.96664655524401,False
2.001,0.0,2218.9,593.017,True,0.0,-97,188,554,1.9663979420078,False
2.096,0.0,2217.6,595.699,True,0.0,-100,189,556,1.96436345409988,False
2.205,0.0,2216.2,593.654,True,0.0,-97,190,554,1.96208979976134,False
2.304,0.0,2217.2,590.371,True,0.0,-96,189,551,1.97375079852265,False
2.403,0.0,2217.9,585.834,True,0.0,-97,183,548,2.01412777160527,False
2.5,0.0,2217.7,588.332,True,0.0,-97,185,550,2.02059635178311,False
2.597,0.0,2216.8,587.895,True,0.0,-94,191,548,2.06574347614644,False
2.694,0.0,2215.6,587.508,True,0.0,-95,195,546,2.14941050668358,False
2.802,0.0,2206.4,591.558,True,0.0,-95,196,550,2.20677368311114,False
2.899,0.0,2204.9,596.089,True,0.0,-97,203,552,2.33316999693826,False
2.997,0.0,2197.7,599.195,True,0.0,-99,203,555,2.44842051881601,False
3.095,0.0,2195.9,600.63,True,0.0,-104,202,556,2.57100675732055,False
3.194,0.632816718778125,2194.4,601.57,True,37.9690031266875,-106,201,557,2.70378764477494,False
3.302,0.0,2193.0,601.709,True,0.0,-109,197,558,2.84901308277104,False
3.399,0.0,2191.5,596.481,True,0.0,-108,190,555,2.91011429901688,False
3.496,0.0,2192.1,589.35,True,0.0,-103,185,550,2.93540988204685,False
3.595,0.0,2193.6,584.422,True,0.0,-96,182,547,2.96916550955291,False
3.702,0.0,2193.5,588.664,True,0.0,-85,186,552,3.09720761702863,False
3.794,0.0,2193.6,590.879,True,0.0,-75,197,552,3.41850752063513,False
3.904,0.0,2185.0,604.154,True,0.0,-72,207,563,3.90923892461858,False
4.002,0.0,2187.3,615.091,True,0.0,-74,219,570,4.54721915262686,False
4.1,0.0,2187.1,625.051,True,0.0,-76,228,577,5.3744501321914,True
4.197,0.0,2190.3,633.103,True,0.0,-80,236,582,6.21646104737252,True
4.294,0.0,2195.0,635.18,True,0.0,-86,237,583,6.92855714498491,True
4.402,0.0,2199.0,637.001,True,0.0,-91,240,583,7.59877011968189,True
4.499,0.0,2204.7,645.121,True,0.0,-100,241,590,8.27216342150773,True
4.596,0.0,2210.0,642.058,True,0.0,-105,238,587,8.7630564996539,True
4.704,0.0,2216.1,643.225,True,0.0,-113,235,588,9.3188002873852,True
4.801,0.0,2220.2,644.33,True,0.0,-119,230,590,9.82801145532498,True
4.898,0.0,2222.0,640.413,True,0.0,-118,222,589,10.17020605333,True
4.995,0.0,2221.7,637.465,True,0.0,-126,217,586,10.559960008439,True
5.104,0.0,2215.3,636.643,True,0.0,-124,213,587,10.9374675246463,True
5.202,0.0,2216.0,629.184,True,0.0,-126,206,581,11.1935788871314,True
5.299,0.0,2217.3,621.46,True,0.0,-128,198,575,11.406536788593,True
5.396,0.0,2218.4,618.547,True,0.0,-126,190,575,11.5818999939302,True
5.501,0.0,2219.2,612.785,True,0.0,-122,189,570,11.6943190323515,True
5.598,0.0,2220.0,606.671,True,0.0,-119,180,567,11.7870443779141,True
5.695,0.0,2221.2,600.097,True,0.0,-114,180,561,11.7870827578095,True
5.803,0.0,2224.0,589.024,True,0.0,-108,178,551,11.8463977737234,True
5.901,0.0,2224.4,589.367,True,0.0,-103,179,552,11.8542619970592,True
5.998,0.0,2223.8,587.561,True,0.0,-98,182,550,11.8212142519028,True
6.096,0.0,2224.0,583.968,True,0.0,-95,187,545,11.8269658023754,True
6.194,0.0,2222.8,593.86,True,0.0,-94,195,553,11.8175770937302,True
6.302,0.0,2220.6,591.731,True,0.0,-94,197,550,11.8594047775649,True
6.4,0.0,2217.6,596.338,True,0.0,-97,201,553,11.8106065571716,True
6.507,0.0,2214.1,599.113,True,0.0,-102,204,554,11.8654558866595,True
6.605,0.0,2212.4,598.028,True,0.0,-105,202,553,11.8731321975391,True
6.705,0.0,2206.2,602.105,True,0.0,-109,201,557,11.8850204303258,True
6.803,0.0,2201.9,597.075,True,0.0,-109,197,553,11.8925606204353,True
6.902,0.0,2197.6,596.373,True,0.0,-109,192,554,11.9016944381414,True
7.001,0.0,2194.1,590.197,True,0.0,-106,186,550,11.8665043913438,True
7.099,0.0,2190.9,585.129,True,0.0,-102,184,546,11.9435198366649,True
7.197,0.0,2187.4,585.048,True,0.0,-96,181,548,11.9761193794032,True
7.296,0.0,2187.6,584.104,True,0.0,-88,185,547,11.9680033354972,True
7.394,0.0,2184.9,589.515,True,0.0,-82,190,552,12.0185370172841,True
7.501,0.0,2180.2,595.076,True,0.0,-76,198,556,12.1555184853222,True
7.599,0.0,2177.8,602.439,True,0.0,-76,206,561,12.2490197429176,True
7.696,0.0,2180.3,606.942,True,0.0,-72,215,563,12.3505142357283,True
7.794,0.0,2179.0,615.663,True,0.0,-74,218,571,12.5212938736483,True
7.901,0.0,2172.7,618.419,True,0.0,-76,225,571,12.709358602289,True
7.997,0.0,2176.7,624.802,True,0.0,-77,232,575,12.9461444494541,True
8.096,0.0,2172.3,628.259,True,0.0,-78,236,577,13.2078059283532,True
8.192,0.0,2177.1,631.64,True,0.0,-80,237,580,13.4695115313314,True
8.299,0.0,2174.4,633.585,True,0.0,-85,238,581,13.7704728025358,True
8.397,0.0,2178.9,637.119,True,0.0,-88,239,584,13.9607661357472,True
8.5,0.0,2179.7,639.496,True,0.0,-93,241,585,14.2578263435497,True
8.599,0.0,2184.5,643.899,True,0.0,-98,241,589,14.5189442988501,True
8.697,0.0,2188.9,643.232,True,0.0,-102,240,588,14.6932087288861,True
8.801,0.0,2194.5,648.041,True,0.0,-108,238,593,14.9267167624726,True
8.901,0.0,2198.6,644.33,True,0.0,-112,236,589,15.1578392041423,True
9.0,0.0,2201.7,641.216,True,0.0,-117,230,587,15.3193386647589,True
9.098,0.632805818062915,2205.1,640.401,True,37.9683490837749,-121,223,588,15.4309205653024,True
9.198,0.0,2207.3,631.115,True,0.0,-124,213,581,15.5168781807836,True
9.298,0.0,2209.5,626.617,True,0.0,-127,206,578,15.6344440213704,True
9.397,0.0,2211.8,620.827,True,0.0,-125,195,576,15.6647854017251,True
9.496,0.0,2213.6,611.949,True,0.0,-124,188,569,15.7123330174714,True
9.603,0.0,2216.3,600.737,True,0.0,-119,182,560,15.7957711235074,True
9.701,0.0,2216.1,596.847,True,0.0,-113,176,559,15.8406759011736,True
9.798,0.0,2217.9,585.249,True,0.0,-106,176,548,15.8989289078532,True
9.895,0.0,2218.7,586.039,True,0.0,-100,179,549,15.8878332076545,True
10.002,0.0,2221.2,582.244,True,0.0,-96,184,544,15.9790152996004,True
10.1,0.0,2220.6,585.872,True,0.0,-93,191,546,16.0062395733051,True
10.198,0.0,2221.7,591.416,True,0.0,-92,197,550,15.9551972855652,True
10.302,0.0,2221.2,594.66,True,0.0,-96,202,551,16.0129770066631,True
10.404,0.0,2220.6,599.958,True,0.0,-98,203,556,15.9920571681851,True
10.498,0.0,2218.7,601.55,True,0.0,-102,203,557,15.9172432455181,True
10.596,0.0,2218.2,599.486,True,0.0,-108,202,554,15.9649285754436,True
10.704,0.0,2218.1,601.709,True,0.0,-109,197,558,15.9575888491924,True
10.801,0.0,2217.2,595.491,True,0.0,-109,195,552,15.9062876766649,True
10.899,0.0,2216.0,593.803,True,0.0,-107,188,553,15.9284627675086,True
10.997,0.0,2215.4,591.149,True,0.0,-106,189,550,15.9999953161913,True
11.094,0.0,2213.8,589.797,True,0.0,-102,184,551,15.9659851610918,True
11.197,0.0,2211.9,585.345,True,0.0,-94,183,548,16.0083466739176,True
11.296,0.0,2210.4,585.513,True,0.0,-87,184,549,16.0527903834239,True
11.406,0.0,2209.1,589.24,True,0.0,-80,190,552,16.1602097294192,True
11.501,0.0,2206.6,592.07,True,0.0,-77,197,553,16.2153247720626,True
11.6,0.0,2204.2,602.199,True,0.0,-72,204,562,16.2779449176701,True
11.699,0.0,2201.0,605.9,True,0.0,-75,211,563,16.2698442751854,True
11.799,0.0,2198.8,610.942,True,0.0,-75,220,565,16.3344470599522,True
11.898,0.0,2202.2,619.464,True,0.0,-74,226,572,16.4309772171063,True
11.995,0.0,2201.1,624.505,True,0.0,-79,233,574,16.5337771199795,True
12.103,0.0,2196.4,630.031,True,0.0,-83,239,577,16.7076053779904,True
12.201,0.0,2201.0,636.819,True,0.0,-87,241,583,16.7899081129525,True
12.299,0.0,2202.1,642.752,True,0.0,-95,244,587,16.9439071682904,True
12.395,0.0,2203.5,647.019,True,0.0,-104,237,593,17.0752884722624,True
12.502,0.0,2204.5,644.9,True,0.0,-110,236,590,17.1811861501924,True
12.601,0.0,2207.4,644.343,True,0.0,-116,229,591,17.2703456702151,True
12.698,0.0,2211.0,641.392,True,0.0,-122,220,590,17.3487135924942,True
12.8,0.0,2214.0,634.393,True,0.0,-127,210,585,17.3820465103177,True
12.898,0.0,2215.2,625.039,True,0.0,-127,204,577,17.4321481030546,True
12.995,0.0,2215.9,612.69,True,0.0,-123,194,568,17.4762359905635,True
13.093,0.0,2216.6,606.28,True,0.0,-122,186,564,17.544914264209,True
13.205,0.0,2217.5,600.15,True,0.0,-116,182,560,17.6798719696255,True
13.304,0.0,2218.1,592.764,True,0.0,-113,178,554,17.7557834017319,True
13.402,0.0,2217.7,594.403,True,0.0,-105,179,557,17.7857267560309,True
13.497,0.0,2217.2,587.453,True,0.0,-101,180,550,17.8038697560241,True
13.595,0.0,2216.9,586.628,True,0.0,-98,185,548,17.7890363876101,True
13.705,0.0,2218.5,584.45,True,0.0,-94,189,545,17.7867266728153,True
13.802,0.0,2218.5,591.502,True,0.0,-95,193,551,17.7350099527671,True
13.898,0.632791047965863,2218.4,596.21,True,37.9674628779518,-95,196,555,17.6731101618107,True
13.999,0.0,2217.1,593.312,True,0.0,-97,203,549,17.6234545797833,True
14.097,0.0,2216.8,597.684,True,0.0,-99,204,553,17.5548838725189,True
14.194,0.0,2216.8,596.512,True,0.0,-103,204,551,17.4641457021373,True
14.301,0.0,2216.6,599.625,True,0.0,-103,205,554,17.2817733813141,True
14.398,0.0,2216.3,600.804,True,0.0,-105,202,556,17.2076557885262,True
14.495,0.0,2217.1,597.104,True,0.0,-105,202,552,17.0852981749801,True
14.603,0.0,2216.4,600.155,True,0.0,-107,199,556,16.8599101106998,True
14.7,0.0,2215.4,599.346,True,0.0,-108,196,556,16.7937955901366,True
14.798,0.0,2214.5,595.081,True,0.0,-107,192,553,16.6671933214728,True
14.895,0.0,2213.1,595.69,True,0.0,-107,191,554,16.5282876980665,True
15.0,0.0,2211.6,589.737,True,0.0,-110,191,547,16.3885723717682,True
