elapsed_seconds,dominant_freq_hz,flow_intensity,total_magnitude,flow_running,vibration_rpm,x_axis_reading,y_axis_reading,z_axis_reading,vibration_intensity,has_real_signal
0.0,0.0,1633.2,521.058,True,0.0,-149,174,468,1.56769105190401,False
0.099,0.663832217976419,1633.4,517.805,True,39.8299330785851,-149,175,464,1.56752511867945,False
0.199,0.0,1633.4,516.909,True,0.0,-149,175,463,1.56984656148772,False
0.299,0.0,1632.9,520.21,True,0.0,-148,175,467,1.56052637637652,False
0.399,0.0,1632.7,514.733,True,0.0,-150,173,461,1.57138267831721,False
0.499,0.0,1631.9,521.392,True,0.0,-149,175,468,1.57870643715148,False
0.6,0.0,1631.5,518.641,True,0.0,-148,173,466,1.57319352037668,False
0.7,0.0,1631.8,518.078,True,0.0,-148,174,465,1.56700974670056,False
0.792,0.0,1630.9,518.928,True,0.0,-149,173,466,1.56700974670056,False
0.9,0.0,1626.2,517.757,True,0.0,-150,174,464,1.5678079588082,False
0.998,0.0,1616.4,519.598,True,0.0,-149,175,466,1.56947345832522,False
1.095,0.0,1604.1,517.793,True,0.0,-147,174,465,1.56978714385825,False
1.199,0.0,1603.3,515.998,True,0.0,-147,174,463,1.56807793309851,False
1.298,0.0,1579.6,518.13,True,0.0,-147,175,465,1.56783137698784,False
1.396,0.0,1578.7,516.284,True,0.0,-148,174,463,1.55515861814841,False
1.504,0.0,1572.8,518.692,True,0.0,-147,174,466,1.54945274549734,False
1.603,0.0,1571.3,520.447,True,0.0,-150,174,467,1.54611212509327,False
1.702,0.0,1571.4,519.55,True,0.0,-150,174,466,1.54197352498651,False
1.792,0.0,1570.5,518.078,True,0.0,-148,174,465,1.54252676535784,False
1.902,0.0,1570.6,517.986,True,0.0,-150,172,465,1.5331290411933,False
2.002,0.0,1570.1,520.156,True,0.0,-147,173,468,1.54038054966046,False
2.103,0.0,1569.9,520.603,True,0.0,-147,177,467,1.55348640399462,False
2.193,0.0,1568.9,518.415,True,0.0,-148,175,465,1.54938968309735,False
2.293,0.0,1569.3,517.181,True,0.0,-148,174,464,1.53813799230115,False
2.393,0.0,1568.1,518.415,True,0.0,-148,175,465,1.53645048455385,False
2.493,0.0,1562.1,519.262,True,0.0,-149,174,466,1.53078356555519,False
2.593,0.0,1550.4,518.078,True,0.0,-148,174,465,1.52728412262907,False
2.693,0.0,1534.9,515.726,True,0.0,-148,175,462,1.53844258653312,False
2.795,0.0,1519.6,523.47,True,0.0,-148,174,471,1.55228180526056,False
2.893,0.0,1509.1,518.365,True,0.0,-149,174,465,1.54826468247834,False
3.0,0.0,1502.9,518.883,True,0.0,-150,172,466,1.51412541156339,False
3.098,0.0,1503.0,516.95,True,0.0,-146,175,464,1.52083472853828,False
3.203,0.0,1503.0,517.518,True,0.0,-148,175,464,1.51236509576121,False
3.298,0.0,1503.2,514.491,True,0.0,-148,174,461,1.51117138940631,False
3.404,0.0,1502.7,513.04,True,0.0,-148,175,459,1.53555915751828,False
3.502,0.0,1501.8,519.216,True,0.0,-150,173,466,1.53239630746557,False
3.601,0.0,1502.2,518.078,True,0.0,-148,174,465,1.5143606930064,False
3.702,0.0,1502.5,517.697,True,0.0,-149,172,465,1.49828508040527,False
3.802,0.0,1499.2,518.03,True,0.0,-149,173,465,1.49057612766918,False
3.902,0.0,1491.7,518.415,True,0.0,-148,175,465,1.48914292907499,False
3.992,0.0,1490.9,515.998,True,0.0,-147,174,463,1.48889897139434,False
4.103,0.0,1462.8,516.284,True,0.0,-148,174,463,1.48730583574266,False
4.193,0.0,1461.9,517.233,True,0.0,-147,175,464,1.48893034913129,False
4.293,0.0,1445.5,518.469,True,0.0,-147,176,465,1.48040140600287,False
4.393,0.0,1434.0,521.5,True,0.0,-147,177,468,1.49593079332621,False
4.492,0.0,1428.7,514.764,True,0.0,-147,173,462,1.4998832787505,False
4.593,0.0,1427.5,519.874,True,0.0,-148,174,467,1.49828483678118,False
4.695,0.0,1427.3,518.13,True,0.0,-147,175,465,1.49908156359874,False
4.791,0.0,1427.1,517.793,True,0.0,-147,174,465,1.49425956214572,False
4.899,0.0,1426.6,518.976,True,0.0,-148,174,466,1.49105214095785,False
4.996,0.0,1425.8,516.122,True,0.0,-147,177,462,1.50313439863724,False
5.101,0.0,1425.9,519.706,True,0.0,-147,177,466,1.51560041486675,False
5.199,0.0,1425.9,517.805,True,0.0,-149,175,464,1.50454808142803,False
5.295,0.0,1425.1,516.284,True,0.0,-148,174,463,1.50069491240416,False
5.404,0.0,1414.5,519.926,True,0.0,-147,175,467,1.5023057932661,False
5.503,0.0,1400.0,518.128,True,0.0,-145,174,466,1.51308416272415,False
5.593,0.0,1399.5,513.308,True,0.0,-147,174,460,1.52700303051285,False
5.703,0.0,1365.9,518.641,True,0.0,-148,173,466,1.5222592973618,False
5.793,0.0,1365.1,517.233,True,0.0,-147,175,464,1.51924881590814,False
5.893,0.0,1353.7,519.874,True,0.0,-148,174,467,1.50931017347288,False
5.993,0.0,1347.9,514.333,True,0.0,-147,177,460,1.52873193853041,False
6.093,0.0,1347.0,518.976,True,0.0,-148,174,466,1.51210174227304,False
6.194,0.0,1346.8,519.989,True,0.0,-148,177,466,1.51437024097487,False
6.294,0.0,1346.8,516.961,True,0.0,-148,176,463,1.51397476436516,False
6.395,0.0,1346.1,515.613,True,0.0,-148,172,463,1.50671363550984,False
6.496,0.0,1345.3,514.543,True,0.0,-147,175,461,1.51657590247065,False
6.6,0.0,1345.0,515.998,True,0.0,-147,174,463,1.51949734957393,False
6.697,0.0,1344.6,512.361,True,0.0,-148,173,459,1.54108967229348,False
6.794,0.0,1344.9,518.357,True,0.0,-147,173,466,1.53885872769185,False
6.901,0.0,1337.6,518.746,True,0.0,-146,175,466,1.53087575492972,False
6.994,0.0,1336.7,518.13,True,0.0,-147,175,465,1.52638127602099,False
7.104,0.0,1307.7,519.312,True,0.0,-148,175,466,1.51487634179201,False
7.202,0.0,1289.1,515.339,True,0.0,-149,173,462,1.51336351179019,False
7.298,0.0,1288.5,514.83,True,0.0,-148,175,461,1.52035750417349,False
7.396,0.0,1272.4,512.633,True,0.0,-147,172,460,1.53752303898417,False
7.495,0.0,1259.2,516.845,True,0.0,-148,173,464,1.52941495627803,False
7.595,0.0,1252.4,517.458,True,0.0,-147,173,465,1.52519107440746,False
7.695,0.0,1249.2,517.518,True,0.0,-148,175,464,1.51895462117066,False
7.796,0.0,1248.3,512.752,True,0.0,-147,175,459,1.53623549204201,False
7.896,0.0,1248.8,516.336,True,0.0,-147,175,463,1.52847806619988,False
7.996,0.663843358644529,1248.7,517.518,True,39.8306015186717,-148,175,464,1.52189047234223,False
8.097,0.0,1248.9,515.118,True,0.0,-149,175,461,1.52095898137576,False
8.198,0.0,1249.2,516.622,True,0.0,-148,175,463,1.51820606015852,False
8.302,0.0,1249.4,518.692,True,0.0,-147,174,466,1.51568764672754,False
8.402,0.0,1249.5,519.644,True,0.0,-146,175,467,1.52131557733053,False
8.493,0.0,1248.7,517.468,True,0.0,-149,174,464,1.51531814478947,False
8.595,0.0,1249.2,514.204,True,0.0,-147,174,461,1.52306948527982,False
8.692,0.0,1249.3,521.058,True,0.0,-149,174,468,1.52824600238411,False
8.799,0.0,1250.8,513.648,True,0.0,-147,175,460,1.53138101591398,False
8.895,0.0,1250.8,517.518,True,0.0,-148,175,464,1.52456363240246,False
8.998,0.0,1250.3,514.154,True,0.0,-148,173,461,1.53340922046059,False
9.097,0.0,1250.5,516.571,True,0.0,-149,174,463,1.52464328096825,False
9.196,0.0,1250.6,517.805,True,0.0,-149,175,464,1.51554229475842,False
9.302,0.0,1251.6,518.976,True,0.0,-148,174,466,1.48531219819563,False
9.4,0.0,1251.6,515.998,True,0.0,-147,174,463,1.47462967857461,False
9.5,0.0,1250.9,517.458,True,0.0,-147,173,465,1.47179726660313,False
9.599,0.0,1251.1,515.675,True,0.0,-149,174,462,1.47316923533048,False
9.698,0.0,1252.0,519.936,True,0.0,-149,176,466,1.47876423353217,False
9.798,0.0,1252.3,514.83,True,0.0,-148,175,461,1.48422538350717,False
